timestamp,message
06-08-2024 20:14:18,INFO : Log telah dibersihkan.
06-08-2024 20:14:18,INFO : Request dari 192.168.211.51 ke /
06-08-2024 20:18:09,INFO : Request dari 192.168.211.51 ke /download_csv
